sweep,f_center_mhz,nbins,snr_db,level_db,persist,spur,verdict
6G_high,3880.227,1,6.9,6.7,0.60,1,
6G_high,3882.125,5,26.5,28.5,0.20,0,
6G_high,3895.227,1,4.5,4.4,0.20,0,
6G_high,3904.773,1,10.1,9.9,1.00,0,
6G_high,3919.773,1,9.2,9.2,0.90,1,
6G_high,3952.500,3,11.0,12.9,0.90,0,
6G_high,3974.773,1,9.9,10.1,1.00,0,
6G_high,4019.773,1,10.1,10.0,1.00,1,
6G_high,4025.227,1,3.7,3.7,0.20,0,
6G_high,4031.846,4,13.2,16.1,1.00,0,
6G_high,4036.212,3,12.6,14.6,1.00,0,
6G_high,4063.711,3,13.3,15.6,1.00,0,
6G_high,4068.106,3,13.0,15.4,1.00,0,
6G_high,4069.773,1,9.7,9.7,1.00,1,
6G_high,4080.227,1,11.7,11.9,1.00,1,
6G_high,4093.192,4,18.8,22.5,0.10,0,
6G_high,4145.626,3,3.7,9.3,0.10,0,
6G_high,4182.468,3,6.3,11.6,0.30,0,
6G_high,4186.093,6,10.5,17.8,0.30,0,
6G_high,4207.440,6,20.9,26.5,0.10,0,
6G_high,4209.994,5,14.4,17.3,0.30,0,
6G_high,4217.202,11,12.3,21.0,0.50,0,
6G_high,4231.887,2,7.4,9.4,0.50,0,
6G_high,4236.266,2,5.3,6.7,0.60,0,
6G_high,4263.789,3,7.5,9.5,0.70,0,
6G_high,4268.153,2,6.8,8.7,0.60,0,
6G_high,4280.227,1,8.3,7.8,0.60,1,
6G_high,4390.255,2,18.6,18.2,1.00,1,
6G_high,4419.773,1,6.8,6.2,0.50,1,
6G_high,4431.859,2,7.1,8.7,0.70,0,
6G_high,4436.304,2,8.2,9.5,0.80,0,
6G_high,4463.715,2,7.4,8.5,0.80,0,
6G_high,4468.145,2,7.9,9.7,0.90,0,
6G_high,4480.227,1,5.6,5.0,0.60,1,
6G_high,4502.564,11,9.3,16.9,0.90,0,
6G_high,4590.227,1,6.5,5.6,0.40,1,
6G_high,4598.409,1,5.0,4.3,0.50,0,
6G_high,4687.500,1,4.5,3.9,0.40,0,
6G_high,4705.227,1,5.4,4.6,0.50,0,
6G_high,4719.773,1,5.2,4.4,0.50,1,
6G_high,4819.773,1,4.7,3.4,0.40,1,
6G_high,4831.858,2,3.6,4.7,0.40,0,
6G_high,4868.135,2,4.5,5.4,0.50,0,
6G_high,4880.227,1,6.4,5.2,0.40,1,
6G_high,4887.493,3,8.8,9.5,1.00,0,
6G_high,4912.520,3,8.6,9.7,0.80,0,
6G_high,4919.773,1,6.8,6.0,0.80,1,
6G_high,4976.250,2,6.6,7.2,0.60,0,
6G_high,5023.775,3,12.4,14.4,1.00,0,
6G_high,5080.227,1,11.6,12.1,1.00,1,
6G_high,5087.505,3,12.0,14.6,1.00,0,
6G_high,5137.510,3,8.6,16.4,0.80,0,
6G_high,5160.249,2,17.7,24.0,1.00,1,
6G_high,5168.753,3,19.4,27.6,1.00,0,
6G_high,5194.749,2,19.5,24.6,1.00,0,
6G_high,5219.773,1,4.0,6.6,0.30,1,
6G_high,5233.121,2,3.2,7.1,0.30,0,
6G_high,5235.227,1,5.8,7.6,0.70,0,
6G_high,5237.500,1,5.4,7.0,0.40,0,
6G_high,5251.283,2,6.4,8.9,0.70,0,
6G_high,5255.534,2,5.4,7.8,0.50,0,
6G_high,5266.282,2,7.0,9.1,0.60,0,
6G_high,5293.691,2,5.9,8.0,0.60,0,
6G_high,5304.484,2,6.3,8.2,0.50,0,
6G_high,5308.778,3,7.6,9.9,0.90,0,
6G_high,5322.510,3,7.3,9.1,0.80,0,
6G_high,5324.773,1,6.9,6.7,0.70,0,
6G_high,5326.830,2,6.7,9.2,0.60,0,
6G_high,5340.227,1,7.3,6.9,0.70,1,
6G_high,5391.321,2,5.6,6.8,0.70,0,
6G_high,5399.773,1,4.1,3.1,0.30,1,
6G_high,5713.282,2,5.6,6.0,0.50,0,
6G_high,5907.977,11,11.0,16.5,0.50,0,
6G_high,5930.981,4,6.9,9.3,0.30,0,
6G_high,5933.236,4,9.1,11.1,0.40,0,
6G_high,5934.773,1,8.4,7.2,0.40,0,
6G_high,5939.221,6,10.8,12.3,0.60,0,
6G_high,5957.500,3,6.8,8.1,0.70,0,
6G_high,5975.546,2,5.6,6.1,0.60,0,
